id,gold_answer,model_extracted,question
770,"['0.866025403784439', '1', '0.577350269189626', '-0.577350269189626', '1.41421356237309', '2']","['\\dfrac{\\sqrt{3}}{2}', '1', '\\dfrac{\\sqrt{3}}{3}', '-\\dfrac{\\sqrt{3}}{3}', '\\sqrt{2}', '2']","Evaluate the following expressions. Note: Your answer must be in EXACT form: it cannot contain decimals. It must be either an integer or a fraction. If the answer involves a square root write it as sqrt. For instance, the square root of 2 should be written as sqrt(2). $\sin (\frac{2\pi}{3})=$ [ANS]
$\cos (0)=$ [ANS]
$\tan (\frac{\pi}{6})=$ [ANS]
$\cot (-\frac{\pi}{3})=$ [ANS]
$\sec (\frac{\pi}{4})=$ [ANS]
$\csc (\frac{\pi}{6})=$ [ANS]"
774,['AC'],"['A, C']",Check all numbers which are equivalent to $7.6$ [ANS] A. $7.600$  B. $7.006$  C. $7.60$  D. $7.06$
775,"['143.43119010619', '9.34840', 'B']","['143.43, 9.348, B']","Among drivers who have had a car crash in the last year, 250 were randomly selected and categorized by age, with the results listed in the table below. $\begin{array}{ccccc}\hline Age & Under 25 & 25-44 & 45-64 & Over 64 \\ \hline Drivers & 101 & 61 & 35 & 53 \\ \hline \end{array}$ If all ages have the same crash rate, we would expect (because of the age distribution of licensed drivers) the given categories to have 16\%, 44\%, 27\%, 13\% of the subjects, respectively. At the 0.025 significance level, test the claim that the distribution of crashes conforms to the distribution of ages. The test statistic is $\chi^2=$ [ANS]
The critical value is $\chi^2=$ [ANS]
The conclusion is [ANS] A. There is not sufficient evidence to warrant the rejection of the claim that the distribution of crashes conforms to the distibuion of ages.  B. There is sufficient evidence to warrant the rejection of the claim that the distribution of crashes conforms to the distibuion of ages."
776,"['11.4736842105263', '11', '19']","['11.47', '11', '19']","Consider the following data set. Find the mean, median and mode(s). Record answers that are not integers to two decimal places.
NOTES: (1) If there is more than one mode, list them all, separated by commas. (2) If there is no mode, enter ""None"".
Data set: 5, 11, 11, 3, 3, 10, 19, 17, 7, 12, 18, 18, 16, 10, 19, 19, 5, 6, 9
Mean: [ANS]
Median: [ANS]
Mode: [ANS]"
778,"['5', '1.09545', '31.1667', '16.3146', '0.525969']","['5', '1.0954', '31.1667', '17.23', '0.526']","An outbreak of the deadly Ebola virus in 2002 and 2003 killed 91 of the 95 gorillas in 7 home ranges in the Congo. To study the spread of the virus, measure "" distance"" by the number of home ranges separating a group of gorillas from the first group infected. Here are data on distance and number of days until deaths began in each later group:
$\begin{array}{ccccccc}\hline Distance x & 4 & 4 & 6 & 6 & 4 & 6 \\ \hline Days y & 4 & 21 & 31 & 40 & 45 & 46 \\ \hline \end{array}$ Use a calculator or software to find the following values.
(a) Find the mean and standard deviation of $x$. MEAN: [ANS]
STANDARD DEVIATION: [ANS]
(b) Find the mean and standard deviation of $y$. MEAN: [ANS]
STANDARD DEVIATION: [ANS]
(c) Find the correlation $r$ between $x$ and $y$. r: [ANS]"
779,"['80', '76', '77', '78.5', '81', '78', '79.5', '82', '80.5', '83', '84.5', '80', 'A']","['79.8, 76, 77, 78.5, 81, 78, 79.5, 82, 80.5, 83, 84.5, 80, A']","The following table provides the starting players of a basketball team and their heights
$\begin{array}{cccccc}\hline Player & A & B & C & D & E \\ \hline Height (in.) & 75 & 77 & 79 & 82 & 87 \\ \hline \end{array}$
a. The population mean height of the five players is [ANS]. b. Find the sample means for samples of size 2. A, B: $\bar{x}$=[ANS]. A, C: $\bar{x}$=[ANS]. A, D: $\bar{x}$=[ANS]. A, E: $\bar{x}$=[ANS]. B, C: $\bar{x}$=[ANS]. B, D: $\bar{x}$=[ANS]. B, E: $\bar{x}$=[ANS]. C, D: $\bar{x}$=[ANS]. C, E: $\bar{x}$=[ANS]. D, E: $\bar{x}$=[ANS]. c. Find the mean of all sample means from above: $\bar{x}$=[ANS]. The answers from parts
(a) and (c) [ANS] A. should always be equal  B. are not equal  C. if they are equal it is only a coincidence."
780,"['B', '2.33', '0.0099', 'A', '76.2161', '88.9839']","['B', '2.33', '0.01', 'A', '76.20, 89.00']","A study is conducted to determine if a newly designed text book is more helpful to learning the material than the old edition. The mean score on the final exam for a course using the old edition is 75. Ten randomly selected people who used the new text take the final exam. Their scores are shown in the table below.
$\begin{array}{ccccccccccc}\hline Person & A & B & C & D & E & F & G & H & I & J \\ \hline Test Score & 88 & 74 & 84 & 78 & 81 & 91 & 94 & 69 & 71 & 96 \\ \hline \end{array}$
Use a $0.05$ significance level to test the claim that people do better with the new edition. Assume the standard deviation is 10.3. (Note: You may wish to use statistical software.)
(a) What kind of test should be used? [ANS] A. Two-Tailed  B. One-Tailed  C. It does not matter.
(b) The test statistic is [ANS] (rounded to 2 decimals). (c) The P-value is [ANS]
(d) Is there sufficient evidence to support the claim that people do better than 75 on this exam? [ANS] A. Yes  B. No
(e) Construct a $95$ \% confidence interval for the mean score for students using the new text. [ANS] $< \mu <$ [ANS]"
787,"['(117*x-sqrt(x/18875), 117*x+sqrt(x/18875))']","['117x + \\sqrt{\\dfrac{x}{18875}}, 117x - \\sqrt{\\dfrac{x}{18875}}']","Solve for $k$ from $0=151 (k-117x)^2-\frac{x}{125}$, and give your answer as a comma-separated list.
$k=$ [ANS]."
795,"['66.7565782437378', '71.2434217562622']","['66.80', '71.20']",A random sample of 1700 registered voters in Flagstaff found 1173 registered voters who support immigration reform. Find a 95\% confidence interval for the true percent of registered voters in Flagstaff who support immigration reform. Express your results to the nearest hundredth of a percent.. Answer: [ANS] to [ANS] \%
797,"['237947.502443291', '12017.550628449']","['237948', '12019']","A triangular parcel of land has sides of lengths 780 feet, 620 feet and 906 feet. a) What is the area of the parcel of land? Area=[ANS]
b) If land is valued at 2200 per acre (1 acre is 43,560 feet $^2$), what is the value of the parcel of land? value=[ANS]"
801,['3.21429'],['\\dfrac{45}{14}'],An experienced tinter can tint a car in $5$ hours. A beginning tinter needs $9$ hours to complete the same job. Find how long it takes for the two to do the job together. Answer: [ANS] hours
805,['BCD'],"['B, C, D']",Which of these functions are neither odd nor even? [ANS] A. $f(x)=x+\sin(x)$  B. $f(\beta)=1+\csc(\beta)$  C. $f(t)=2+\tan(t)$  D. $f(x)=\cos(x)+\sin(x)$  E. $f(x)=\cos(2x)$  F. ${f(x)=\frac{\sin(x)}{x}}$
806,['2.03972'],['2.04'],"A straight road connects two towns, which are built on a $16$ degree slope. The road is ${7.4\ {\rm km}}$ long. Find the difference in elevation between the two towns(vertical distance). Round your answer to two decimal places if needed. The difference in elevation is [ANS]km."
809,"['32', '1.8', '-40', '32', '91.4', '212', '91.4']","['32', '1.8', '-40', '32', '91.4', '212', '91.4']","Measuring Temperature. The two most commonly used scales for measuring temperature are the Fahrenheit and Celsius scales. If you let $y$ denote the Fahrenheit temperature and $x$ denote Celsius temperature, you can express the relationship between those two scales with the linear equation $y=32+1.8x$. a. Determine the $y$-intercept $b_0$ and the slope $b_1$.
$b_0$=[ANS]
$b_1$=[ANS]
b. Find the Fahrenheit temperature corresponding to the Celsius temperature $-40^{\circ}$. [ANS] degrees c. Find the Fahrenheit temperature corresponding to the Celsius temperature $0^{\circ}$. [ANS] degrees d. Find the Fahrenheit temperature corresponding to the Celsius temperature $33^{\circ}$. [ANS] degrees e. Find the Fahrenheit temperature corresponding to the Celsius temperature $100^{\circ}$. [ANS] degrees f. Graph the linear equation $y=32+1.8x$, using the four points found in (b), (c), (d) and (e). g. Apply the graph obtained in part (f) to estimate visually the Fahrenheit temperature corresponding to a Celsius temperature of $33^{\circ}$. Then calculate that temperature exactly by using the linear equation $y=32+1.8x$. The exact Fahrenheit temperature corresponding to the Celsius temperature of $33^{\circ}$ is [ANS] degrees"
811,['0.498401157310035'],['0.499'],"In an attempt to reduce the number of person-hours lost as a result of industrial accidents, a large production plant installed new safety equipment. In a test of the effectiveness of the equipment, a random sample of 55 departments was chosen. The number of person-hours lost in the month prior to and the month after the installation of the safety equipment was recorded and the percentage change was calculated. Find the probability that the test is unable to conclude that the new safety equipment is effective when the mean percent reduction is actually 1.9\%. Assume that the population standard deviation is 10\% and that $\alpha$ is 0.08. P(Type II Error)=[ANS]"
815,"['1.54285714285714', '2.77285', 'A', '2.4', '2.77285', 'B', '5.4', '2.77285', 'B']","['1.542', 'F > 2.77', 'A', '2.400', 'F > 2.77', 'A', '5.400', 'F > 2.77', 'B']","138 322 Suppose the Total Sum of Squares for a completely randomzied design with $p=6$ treatments and $n=24$ total measurements (SS(Total))is equal to $460$. In each of the following cases, conduct an $F$-test of the null hypothesis that the mean responses for the $6$ treatments are the same. Use $\alpha=0.05$.
(a) Sum of Squares for Treatment (SST) is $30$ \% of SS(Total) $F=$ [ANS]
Rejection region $F >$ [ANS]
The final conclustion is [ANS] A. There is not sufficient evidence to reject the null hypothesis that the mean responses for the treatments are the same.  B. We can reject the null hypothesis that the mean responses for the treatments are the same and accept the alternative hypothesis that at least two treatment means differ.
(b) Sum of Squares for Treatment (SST) is $40$ \% of SS(Total) $F=$ [ANS]
Rejection region $F >$ [ANS]
The final conclustion is [ANS] A. We can reject the null hypothesis that the mean responses for the treatments are the same and accept the alternative hypothesis that at least two treatment means differ.  B. There is not sufficient evidence to reject the null hypothesis that the mean responses for the treatments are the same.
(c) Sum of Squares for Treatment (SST) is $60$ \% of SS(Total) $F=$ [ANS]
Rejection region $F >$ [ANS]
The final conclustion is [ANS] A. There is not sufficient evidence to reject the null hypothesis that the mean responses for the treatments are the same.  B. We can reject the null hypothesis that the mean responses for the treatments are the same and accept the alternative hypothesis that at least two treatment means differ."
823,"['A', 'C', 'DG', 'A', 'D', 'D']","['A', 'C', 'G', 'A', 'D', 'D']","A report says that 82\% of British Columbians over the age of 25 are high school graduates. A survey of randomly selected British Columbians included 1290 who were over the age of 25, and 1135 of them were high school graduates. Does the city’s survey result provide sufficient evidence to contradict the reported value, 82\%?
Part i) What is the parameter of interest? [ANS] A. The proportion of all British Columbians (aged above 25) who are high school graduates.  B. The proportion of 1290 British Columbians (aged above 25) who are high school graduates.  C. All British Columbians aged above 25.  D. Whether a British Columbian is a high school graduate.
Part ii) Let $p$ be the population proportion of British Columbians aged above 25 who are high school graduates. What are the null and alternative hypotheses? [ANS] A. Null: $p=0.82$. Alternative: $p > 0.82$.  B. Null: $p=0.88$. Alternative: $p \ne 0.82$.  C. Null: $p=0.82$. Alternative: $p \ne 0.82$.  D. Null: $p=0.88$. Alternative: $p \ne 0.88$.  E. Null: $p=0.82$. Alternative: $p=0.88$.  F. Null: $p=0.88$. Alternative: $p > 0.88$.
Part iii) The $P$-value is less than 0.0001. Using all the information available to you, which of the following is/are correct? (check all that apply) [ANS] A. The observed proportion of British Columbians who are high school graduates is unusually low if the reported value 82\% is incorrect.  B. The observed proportion of British Columbians who are high school graduates is unusually low if the reported value 82\% is correct.  C. Assuming the reported value 82\% is incorrect, it is nearly impossible that in a random sample of 1290 British Columbians aged above 25, 1135 or more are high school graduates.  D. Assuming the reported value 82\% is correct, it is nearly impossible that in a random sample of 1290 British Columbians aged above 25, 1135 or more are high school graduates.  E. The reported value 82\% must be false.  F. The observed proportion of British Columbians who are high school graduates is unusually high if the reported value 82\% is incorrect.  G. The observed proportion of British Columbians who are high school graduates is unusually high if the reported value 82\% is correct.
Part iv) What is an appropriate conclusion for the hypothesis test at the 5\% significance level? [ANS] A. There is sufficient evidence to contradict the reported value 82\%.  B. There is insufficient evidence to contradict the reported value 82\%.  C. There is a 5\% probability that the reported value 82\% is true.  D. Both A. and C.  E. Both B. and C.
Part v) Which of the following scenarios describe the Type II error of the test? [ANS] A. The data suggest that reported value is incorrect when in fact the value is correct.  B. The data suggest that reported value is correct when in fact the value is correct.  C. The data suggest that reported value is incorrect when in fact the value is incorrect.  D. The data suggest that reported value is correct when in fact the value is incorrect.
Part vi) Based on the result of the hypothesis test, which of the following types of errors are we in a position of committing? [ANS] A. Type II error only.  B. Both Type I and Type II errors.  C. Neither Type I nor Type II errors.  D. Type I error only."
